food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Carbohydrate_to_Protein_Ratio,Carbohydrate_to_Fat_Ratio,Fiber_to_Carbohydrate_Ratio,Sodium_to_Potassium_Ratio,Caloric_Density
fume blanc white wine,121.0,0.0,0.0,0.0,0.0,3.3,0.0,0.1,15.4,0.0,0.0,0.0,127.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.7,32.999999967,32999999999.999996,4.666666666525253,0.0,35.58823529307094
cabarnet franc red wine,122.0,0.0,0.0,0.0,0.0,3.6,0.0,0.1,0.0,0.0,0.0,127.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,35.999999964000004,36000000000.0,0.0,0.0,0.9312977099229532
chocolate frosting,81.0,3.6,1.1,1.8,0.5,13.0,11.8,0.2,0.2,0.0,0.025,3.5,0.0,0.026,0.069,0.0,0.097,0.024,0.005,0.085,0.0,0.0,0.3,0.0,1.6,0.045,0.3,4.3,0.064,16.2,40.2,0.094,0.062,18.9,64.99999996749999,3.6111111110108025,0.015384615384497043,0.0006218905472621345,3.990147783231576
white sugar,19.0,0.0,0.0,0.0,0.0,5.0,4.9,0.0,0.0,0.0,0.012,0.021,0.0,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.078,0.078,0.0,0.081,0.0,0.1,0.026,0.05,5.037,50000000000.0,50000000000.0,0.0,0.11999999988,3.7841067515677334
egg substitute,115.0,0.0,0.0,0.0,0.0,4.8,4.8,24.0,0.0,0.0,0.5,208.8,0.0,0.3,0.065,0.039,0.9,0.3,4.0,0.3,1.2,0.006,3.8,0.063,175.2,0.07,4.8,36.0,0.002,172.8,511.2,0.017,2.4,210.0,0.19999999999916668,48000000000.0,0.0,0.00097809076682297,0.48400673400653027
agave syrup,21.0,0.081,0.0,0.0,0.0,5.3,4.7,0.025,0.01,0.0,0.09,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.071,0.042,0.034,0.049,0.009,0.3,0.0,0.008,5.456,211.999999152,65.43209868465173,0.001886792452794589,0.2999999999,2.997430773579825
splenda sweetener,336.0,0.0,0.0,0.0,0.0,91.2,80.3,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,91.2,912000000000.0,912000000000.0,0.0,0.0,3.35999999999664
vanilla extract,12.0,0.069,0.003,0.06,0.001,0.5,0.5,0.0,0.0,0.0,0.061,2.2,0.0,0.041,0.0,0.0,0.083,0.002,0.039,0.079,0.0,0.0,0.0,0.0,0.5,0.03,0.019,0.5,0.066,0.3,6.2,0.0,0.065,1.213,5000000000.0,7.246376801092207,0.0,0.009838709677260665,4.333694474383037
egg yolk dried,27.0,2.3,0.7,0.9,0.4,0.054,0.002,1.3,0.0,92.3,0.071,0.1,0.01,0.041,0.036,0.092,0.025,0.065,0.4,0.078,0.0,0.065,0.2,0.074,12.3,0.015,0.4,1.0,0.071,41.6,10.6,0.098,0.3,16.368,0.04153846153526627,0.023478260868544425,0.0,0.00669811320748398,7.192328183079586
granulated sugar,16.0,0.0,0.0,0.0,0.0,4.2,4.2,0.0,0.0,0.0,0.019,0.055,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.034,0.01,0.0,0.067,0.0,0.033,0.093,0.05,4.253,42000000000.0,42000000000.0,0.0,0.5757575740128558,3.760282021063213
baking chocolate,145.0,15.2,9.4,4.7,0.5,8.7,0.3,3.7,4.8,0.0,0.049,0.4,0.0,0.023,0.098,0.0,0.002,0.4,0.088,0.015,0.0,0.0,0.1,0.097,29.3,0.9,5.0,94.8,1.2,116.0,240.7,0.072,2.8,66.7,2.351351351287801,0.572368421048866,0.5517241379246929,0.00020357291233892666,5.178571428552934
bakers yeast,18.0,0.3,0.089,0.2,0.079,3.1,0.0,1.4,1.4,0.0,0.066,11.7,0.0,0.3,0.1,0.0,0.2,2.1,0.8,0.005,0.04,0.0,0.0,0.0,3.2,0.024,0.6,6.8,0.02,57.1,102.2,0.073,1.7,10.078,2.214285714127551,10.33333332988889,0.45161290321123826,0.0006457925636001509,1.0909090909024795
fondant,106.0,0.009,0.0,0.0,0.0,26.4,25.2,0.0,0.0,0.0,0.022,1.9,0.0,0.062,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.095,0.09,0.0,0.0,0.0,1.1,0.045,0.037,27.396,263999999999.99997,2933.3333007407414,0.0,0.019999999998181816,3.744392242736429
brown sugar,16.0,0.0,0.0,0.0,0.0,4.1,4.1,0.024,0.0,0.0,0.094,0.087,0.0,0.0,0.023,0.0,0.0,0.0,0.037,0.008,0.0,0.0,0.0,0.0,3.5,0.03,0.071,0.4,0.047,0.2,5.6,0.023,0.08,7.622,170.83333262152775,40999999999.99999,0.0,0.016785714285414543,3.799572547998111
white frosting dry,768.0,0.0,0.0,0.0,0.0,196.4,0.0,4.8,0.0,0.0,0.5,3.9,0.0,0.018,0.077,0.0,0.1,2.1,0.1,0.031,0.0,0.0,0.0,0.0,8.3,0.053,0.2,6.2,0.043,14.5,242.2,0.036,0.01,209.7,40.91666666581424,1964000000000.0,0.0,0.0020644095788595936,3.744514870792909
maple sugar,42.0,0.061,0.076,0.037,0.09,10.9,10.2,0.036,0.0,0.0,0.031,1.0,0.0,0.016,0.0,0.0,0.021,0.015,0.032,0.04,0.0,0.0,0.0,0.0,10.8,0.024,0.2,2.3,0.5,0.4,32.9,0.03,0.7,21.961,302.7777769367284,178.68852429723194,0.0,0.0009422492401187165,3.50087521877552
fructose sweetener,15.0,0.0,0.0,0.0,0.0,4.2,3.9,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.067,0.0,0.0,0.0,0.0,0.082,0.0,4.274,42000000000.0,42000000000.0,0.0,129999999.99999999,3.5714285713435374
saccharin sweetener,360.0,0.0,0.0,0.0,0.0,89.1,85.2,0.9,0.0,0.0,0.4,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0,4.0,0.0,0.079,90.082,98.99999998899999,890999999999.9999,0.0,0.0999999999975,3.6437246963525873
egg white raw,17.0,0.063,0.0,0.0,0.0,0.2,0.2,3.6,0.0,0.0,0.038,28.9,0.0,0.099,0.024,0.041,0.1,0.089,0.055,0.043,0.0,0.0,0.0,0.0,2.3,0.075,0.045,3.6,0.039,5.0,53.8,0.017,0.001,6.196,0.05555555555401235,3.1746031695641226,0.0,0.0007063197026009176,0.5188780026233285
turbinado sugar,18.0,0.0,0.0,0.0,0.0,4.6,4.6,0.0,0.0,0.0,0.008,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.05,0.018,0.016,0.064,0.052,1.3,0.0,0.003,5.24,45999999999.99999,45999999999.99999,0.0,0.006153846153372781,3.8445108926987506
vanilla frosting,1931.0,75.0,13.7,22.5,36.7,313.7,291.5,0.0,0.0,0.0,0.9,69.6,0.0,0.046,0.026,0.0,1.4,1.0,0.3,0.0,0.0,0.0,7.1,0.032,13.9,0.0,0.7,4.6,0.0,83.2,157.1,0.029,0.3,403.3,3137000000000.0,4.182666666661089,0.0,0.00572883513685186,4.213397337987298
aspartame sweetener,365.0,0.0,0.0,0.0,0.0,89.1,80.7,2.2,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,4.0,0.079,0.068,91.381,40.49999999815908,890999999999.9999,0.0,0.0,3.6463536463500037
egg raw,80.0,5.3,1.8,2.0,1.1,0.4,0.2,7.0,0.0,208.3,0.08,42.6,0.066,0.011,0.048,0.013,0.3,0.018,0.9,0.099,0.0,0.038,0.6,0.016,31.4,0.071,1.0,6.7,0.057,110.9,77.3,0.023,0.7,45.156,0.05714285714204082,0.07547169811178356,0.0,0.0010349288486403172,1.4466546112089573
pineapple topping,860.0,0.3,0.066,0.1,0.2,225.8,71.4,0.3,1.4,0.0,0.1,112.2,0.0,0.1,0.026,0.0,0.008,0.3,0.059,0.012,10.5,0.0,0.054,0.032,20.4,0.2,0.4,20.4,0.2,10.2,146.2,0.026,0.2,259.1,752.6666664157779,752.6666664157779,0.006200177147915766,0.0006839945280433079,2.5398700531593206
egg white dried,26.0,0.087,0.0,0.0,0.0,0.3,0.0,5.8,0.0,0.0,0.052,0.6,0.0,0.041,0.06,0.077,0.2,0.049,0.1,0.059,0.0,0.0,0.0,0.0,6.2,0.033,0.028,5.0,0.03,6.2,78.1,0.012,0.0,12.343,0.05172413793014269,3.4482758581054305,0.0,0.0006658130601784048,3.8308531014611633
egg yolk raw,55.0,4.5,1.6,2.0,0.7,0.6,0.08,2.7,0.0,184.5,0.006,8.9,0.009,0.014,0.04,0.098,0.064,0.042,0.5,0.061,0.0,0.078,0.4,0.034,21.9,0.069,0.5,0.9,0.013,66.3,18.5,0.039,0.4,30.27,0.22222222221399174,0.13333333333037037,0.0,0.00032432432432257126,3.2934131736329735
baking soda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,13000000000.0,0.0
egg dried,30.0,2.2,0.7,0.9,0.3,0.047,0.05,2.4,0.0,81.5,0.06,0.2,0.044,0.026,0.016,0.09,0.02,0.079,0.3,0.075,0.0,0.027,0.1,0.075,11.8,0.017,0.2,1.7,0.063,31.5,27.0,0.017,0.2,16.62,0.019583333332517362,0.02136363636266529,0.0,0.002222222222213992,6.189395502244905
strawberry topping,53.0,0.096,0.071,0.083,0.063,13.9,5.7,0.014,0.1,0.0,0.099,6.9,0.0,0.077,0.03,0.0,0.051,0.049,0.063,0.024,2.9,0.0,0.079,0.029,1.3,0.078,0.014,0.8,0.002,1.1,10.7,0.005,0.079,18.34,992.8571357653062,144.79166651584202,0.00719424460426479,0.009252336448511662,2.5346724055354635
bakers yeast dry,13.0,0.3,0.078,0.2,0.069,1.6,0.0,1.6,1.1,0.0,0.081,0.2,0.0,0.4,0.002,0.014,0.2,1.6,0.5,0.008,0.038,0.0,0.0,0.088,1.2,0.016,0.051,2.2,0.048,25.5,38.2,0.006,0.3,5.927,0.9999999999375,5.333333331555556,0.6874999999570313,0.0021204188481619883,3.5135135134185536
almond paste,1040.0,63.0,6.0,40.9,13.2,108.5,82.3,20.4,10.9,0.0,0.051,32.0,0.0,0.2,0.2,0.0,0.9,3.2,0.3,0.051,0.2,0.0,30.7,0.0,390.4,1.0,3.6,295.1,1.9,585.7,712.8,0.037,3.4,597.0,5.318627450954321,1.7222222222194885,0.10046082949299497,7.154882154881151e-05,4.644930772664295
cream of tartar,8.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.01,0.0,0.009,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.094,0.1,0.073,0.062,0.2,495.0,0.031,0.054,2.138,18000000000.0,18000000000.0,0.005555555555246914,1.818181818181451e-05,4.366812226835872
popover dry mix,631.0,7.3,1.7,3.4,1.4,120.7,0.0,17.7,0.0,0.0,1.5,19.9,0.0,0.7,0.2,0.008,0.2,5.7,0.8,0.072,0.2,0.0,0.0,0.0,54.4,0.3,5.0,42.5,1.3,170.0,170.0,0.044,1.5,205.3,6.819209039509497,16.53424657511597,0.0,0.008823529411759515,3.810386473427651
egg substitute powder,126.0,3.7,1.1,1.5,0.5,6.2,6.2,15.7,0.0,161.9,0.2,1.1,0.1,0.006,0.017,0.049,0.5,0.2,1.0,0.074,0.2,0.0,0.4,0.025,92.3,0.017,0.9,18.4,0.045,135.3,210.6,0.032,0.5,119.1,0.3949044585962108,1.6756756756303872,0.0,0.0009496676163338322,4.719101123577832
gelatin powder,17.0,0.086,0.09,0.054,0.063,0.0,0.0,4.3,0.0,0.0,0.029,0.7,0.0,0.033,0.015,0.0,0.028,0.063,0.039,0.014,0.0,0.0,0.0,0.0,2.8,0.1,0.099,1.1,0.019,2.0,0.8,0.077,0.004,7.255,0.0,0.0,0.0,0.03624999999546875,3.342508847751819
tapioca pearls,544.0,0.093,0.075,0.088,0.057,134.8,5.1,0.3,1.4,0.0,0.077,16.7,0.0,0.016,0.001,0.0,0.0,0.0,0.2,0.091,0.0,0.0,0.0,0.0,30.4,0.021,2.4,1.5,0.2,10.6,16.7,0.007,0.2,169.318,449.3333331835556,1449.4623640328364,0.010385756676550159,0.0046107784430861635,3.5814685337681254
baking powder,2.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.03,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.3,0.077,0.5,1.2,0.074,100.8,0.9,0.004,0.091,272.196,13000000000.0,13000000000.0,0.02307692307514793,0.5555555554938272,1.3333333332444444
egg boiled,93.0,6.4,2.0,2.4,0.8,0.7,0.7,7.5,0.0,223.8,0.042,44.8,0.04,0.069,0.072,0.015,0.3,0.038,0.8,0.056,0.0,0.019,0.6,0.069,30.0,0.009,0.7,6.0,0.004,103.2,75.6,0.062,0.6,45.338,0.09333333333208889,0.109374999998291,0.0,0.0005555555555548208,1.5656565656539299
millet flour,444.0,5.1,0.6,1.1,3.1,86.9,2.0,12.8,4.2,0.0,0.056,12.8,0.0,0.5,0.032,0.0,0.01,7.2,1.5,0.4,0.0,0.0,0.1,0.037,16.7,0.6,4.7,141.6,1.2,339.2,266.6,0.028,3.1,130.4,6.789062499946961,17.03921568594041,0.0483314154199674,0.00021005251312820327,3.775510204078422
triticale flour,439.0,2.4,0.4,0.2,1.0,95.1,0.0,17.1,19.0,0.0,0.096,13.0,0.0,0.5,0.012,0.0,0.2,3.7,2.8,0.5,0.0,0.0,1.2,0.0,45.5,0.7,3.4,198.9,5.4,417.3,605.8,0.0,3.5,182.5,5.5614035087394065,39.624999998348954,0.19978969505762378,0.00015846814130073317,3.440438871470658
corn flour white,414.0,4.2,0.6,1.1,2.0,87.3,1.8,9.6,7.3,0.0,0.036,11.2,0.0,0.3,0.078,0.0,0.1,1.9,0.2,0.5,0.0,0.0,0.1,0.0,157.3,0.2,1.7,106.0,0.5,263.3,298.7,0.072,2.1,267.4,9.093749999905274,20.785714285219385,0.08361970217630742,0.00012052226314023418,3.6865538735497005
rice flour brown,574.0,4.4,0.9,1.6,1.6,120.8,1.3,11.4,7.3,0.0,0.039,18.9,0.0,0.7,0.056,0.0,0.1,10.0,2.5,1.2,0.0,0.0,1.9,0.0,17.4,0.4,3.1,177.0,6.3,532.5,456.6,0.0,3.9,164.4,10.596491227977223,27.454545453921483,0.060430463576108914,8.541392904071716e-05,3.691318327971903
sorghum flour,437.0,4.0,0.6,1.1,1.7,93.7,2.3,9.5,8.0,0.0,0.023,12.2,0.0,0.3,0.058,0.0,0.014,6.3,1.1,0.4,0.0,0.0,0.6,0.079,14.5,0.3,3.6,145.2,1.5,348.5,376.3,0.026,1.7,133.3,9.86315789463302,23.424999999414375,0.08537886872989821,6.11214456550462e-05,3.6599664991594136
cornmeal whole grain,442.0,4.4,0.6,1.2,2.0,93.8,0.8,9.9,8.9,0.0,0.022,12.5,0.0,0.5,0.034,0.0,0.2,4.4,0.5,0.4,0.0,0.0,0.5,0.059,7.3,0.2,4.2,154.9,0.6,294.0,350.1,0.004,2.2,128.5,9.47474747465177,21.31818181769731,0.09488272921098627,6.283918880318114e-05,3.6650082918709246
cornmeal white,581.0,2.7,0.3,0.5,1.0,124.7,2.5,11.2,6.1,0.0,0.094,17.6,0.0,0.2,0.089,0.0,0.016,1.6,0.4,0.3,0.0,0.0,0.2,0.0,4.7,0.1,1.7,50.2,0.3,155.4,222.9,0.03,1.0,151.1,11.133928571329163,46.18518518347462,0.04891740176419493,0.0004217137729921841,3.7195902688836626
barley flour,511.0,2.4,0.5,0.3,1.1,110.3,1.2,15.5,14.9,0.0,0.062,17.9,0.0,0.5,0.021,0.0,0.2,9.3,0.2,0.6,0.0,0.0,0.8,0.069,47.4,0.5,4.0,142.1,1.5,438.1,457.3,0.037,3.0,194.5,7.116129032212154,45.9583333314184,0.13508612873967807,0.0001355783949267143,3.4976043805588657
safflower seed meal,97.0,0.7,0.029,0.099,0.4,13.8,0.0,10.1,0.0,0.0,0.006,1.8,0.0,0.3,0.022,0.0,0.1,0.6,1.1,0.3,0.0,0.0,0.0,0.0,21.8,0.5,1.4,99.1,0.6,180.6,19.2,0.0,1.4,47.8,1.3663366336498384,19.71428571146939,0.0,0.00031249999999837246,3.674242424228507
sesame flour,658.0,46.4,6.5,17.5,20.3,33.3,0.0,38.5,0.0,0.0,0.041,1.1,0.0,3.4,0.073,0.0,0.4,16.7,3.7,0.2,0.0,0.0,0.0,0.0,198.8,1.9,19.0,451.3,1.9,1008.8,528.8,0.0,13.3,336.0,0.8649350649328182,0.7176724137915567,0.0,7.753403933432725e-05,5.515507124890599
whole grain wheat flour,408.0,3.0,0.5,0.3,1.4,86.4,0.5,15.9,12.8,0.0,0.027,12.9,0.0,0.6,0.066,0.0,0.2,5.9,0.7,0.5,0.0,0.0,0.9,0.025,40.8,0.5,4.3,164.4,4.9,428.4,435.6,0.045,3.1,163.2,5.433962264116768,28.79999999904,0.14814814814797667,6.198347107436594e-05,3.4517766497432723
corn flour yellow,422.0,4.5,0.6,1.2,2.1,89.9,0.7,8.1,8.5,0.0,0.04,12.8,0.0,0.3,0.04,0.0,0.036,2.2,0.8,0.4,0.0,0.0,0.5,0.006,8.2,0.3,2.8,108.8,0.5,318.2,368.6,0.012,2.0,122.0,11.098765431961745,19.977777777333827,0.09454949944372129,0.0001085187194790807,3.660017346050598
corn flour whole grain,422.0,4.5,0.6,1.2,2.1,89.9,0.7,8.1,8.5,0.0,0.033,12.8,0.0,0.3,0.021,0.0,0.035,2.2,0.8,0.4,0.0,0.0,0.5,0.071,8.2,0.3,2.8,108.8,0.5,318.2,368.6,0.045,2.0,122.0,11.098765431961745,19.977777777333827,0.09454949944372129,8.952794357024158e-05,3.660017346050598
cottonseed flour low fat,94.0,0.4,0.082,0.046,0.2,10.2,0.0,14.1,0.0,0.0,0.022,2.0,0.0,0.6,0.016,0.0,0.1,1.1,0.1,0.2,0.7,0.0,0.0,0.0,134.1,0.3,3.6,202.6,0.6,449.1,498.4,0.0,3.3,163.1,0.7234042553140184,25.499999993624996,0.0,4.414125200641169e-05,3.5205992509231443
sunflower seed flour,13.0,0.013,0.036,0.059,0.077,1.4,0.0,1.9,0.2,0.0,0.073,0.3,0.0,0.1,0.02,0.0,0.006,0.3,0.3,0.022,0.003,0.0,0.0,0.0,4.6,0.081,0.3,13.8,0.011,27.6,2.7,0.047,0.2,8.557,0.7368421052243768,107.69230686390533,0.1428571428469388,0.02703703703603566,3.5981179074564595
sesame meal,160.0,13.6,1.9,5.1,6.0,7.4,0.0,4.8,0.0,0.0,0.073,1.4,0.0,0.7,0.01,0.0,0.094,3.6,0.8,0.081,0.0,0.0,0.0,0.0,43.3,0.4,4.1,97.9,0.4,219.0,114.9,0.0,2.9,73.2,1.5416666666345487,0.5441176470548227,0.0,0.0006353350739768186,5.882352941154844
acorn flour,626.0,37.7,4.9,23.9,7.3,68.3,0.0,9.4,0.0,0.0,0.0,7.5,0.0,0.2,0.1,0.0,0.2,3.0,1.2,0.9,0.0,0.0,0.0,0.0,53.8,0.8,1.5,137.5,2.2,128.8,890.0,0.0,0.8,170.7,7.265957446731212,1.8116710875283506,0.0,0.0,5.093572009759891
rice flour white,578.0,2.2,0.6,0.7,0.6,126.6,0.2,9.4,3.8,0.0,0.0,18.8,0.0,0.2,0.058,0.0,0.014,4.1,1.3,0.7,0.0,0.0,0.2,0.0,15.8,0.2,0.6,55.3,1.9,154.8,120.1,0.062,1.3,158.4,13.4680851062397,57.54545454283883,0.030015797788285926,0.0,3.6815286624180374
sesame flour low fat,94.0,0.5,0.011,0.2,0.2,10.0,0.0,14.2,0.0,0.0,0.072,2.0,0.0,0.7,0.073,0.0,0.092,3.5,0.8,0.02,0.0,0.0,0.0,0.0,42.2,0.4,4.0,95.7,0.4,214.2,112.4,0.0,2.8,70.9,0.7042253521077168,19.999999996,0.0,0.0006405693950172236,3.5205992509231443
potato flour,571.0,0.5,0.1,0.063,0.2,133.0,5.6,11.0,9.4,0.0,0.042,10.4,0.0,0.0,0.4,0.043,0.0,0.06,5.6,0.8,1.2,6.1,0.0,0.4,0.0,104.0,0.3,2.2,104.0,0.5,268.8,1601.6,0.031,155.4,12.090909090799174,265.9999999468,0.07067669172927017,0.0001562499999999419,3.6862491930253802
cornmeal yellow,581.0,2.7,0.3,0.5,1.0,124.7,2.5,11.2,6.1,0.0,0.011,17.6,0.0,0.2,0.072,0.0,0.085,1.6,0.4,0.3,0.0,0.0,0.2,0.0,4.7,0.1,1.7,50.2,0.3,155.4,222.9,0.069,1.0,151.1,11.133928571329163,46.18518518347462,0.04891740176419493,4.9349484073553456e-05,3.7195902688836626
rye flour,364.0,1.4,0.2,0.2,0.6,78.2,0.9,10.0,8.2,0.0,0.061,11.6,0.0,0.3,0.047,0.0,0.068,0.8,0.7,0.2,0.0,0.0,0.8,0.079,13.3,0.2,0.9,32.6,1.2,132.6,228.5,0.07,1.4,112.0,7.819999999921801,55.857142853153064,0.10485933503822907,0.00026695842450754183,3.5968379446604772
arrowroot flour,457.0,0.1,0.019,0.088,0.036,112.8,0.0,0.4,4.4,0.0,0.002,14.6,0.0,0.013,0.043,0.0,0.0,0.0,0.2,0.032,0.0,0.0,0.0,0.0,51.2,0.045,0.4,3.8,0.6,6.4,14.1,0.0,0.067,169.3,281.99999992949995,1127.9999988719999,0.039007092198546985,0.0001418439716301997,3.5731039874874333
chickpea flour,356.0,6.2,0.6,1.4,2.7,53.2,10.0,20.6,9.9,0.0,0.05,9.5,0.0,0.4,0.4,0.0,0.037,1.6,0.6,0.5,0.0,0.0,0.8,0.003,41.4,0.8,4.5,152.7,1.5,292.6,778.3,0.079,2.6,135.8,2.5825242718321237,8.580645161151926,0.18609022556355997,6.424257998200383e-05,3.977653631280472
wheat flour,455.0,1.2,0.2,0.1,0.5,95.4,0.3,12.9,3.4,0.0,0.061,14.9,0.0,1.0,0.2,0.0,0.6,7.4,0.5,0.001,0.0,0.0,0.095,0.051,18.8,0.2,5.8,27.5,0.9,135.0,133.8,0.023,0.9,137.5,7.395348837151975,79.49999999337501,0.0356394129978662,0.0004559043348277609,3.6575562700935227
cornstarch,488.0,0.03,0.077,0.046,0.012,116.8,0.0,0.3,1.2,0.0,0.093,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.097,0.6,3.8,0.028,16.6,3.8,0.096,0.081,121.535,389.3333332035555,3893.3333203555553,0.010273972602730929,0.024473684209882274,3.8205589916199636
carob flour,13.0,0.061,0.041,0.088,0.052,5.3,2.9,0.3,2.4,0.0,0.033,0.2,0.0,0.09,0.007,0.0,0.079,0.1,0.038,0.029,0.088,0.0,0.046,0.0,20.9,0.088,0.2,3.2,0.019,4.7,49.6,0.087,0.087,29.18,17.66666666077778,86.88524575920451,0.4528301886707013,0.0006653225806438199,2.2180515270053225
buckwheat flour,402.0,3.7,0.8,1.1,1.1,84.7,3.1,15.1,12.0,0.0,0.033,13.4,0.0,0.5,0.035,0.0,0.2,7.4,0.5,0.7,0.0,0.0,0.4,0.044,49.2,0.6,4.9,301.2,2.4,404.4,692.4,0.04,3.7,169.6,5.60927152314166,22.891891891273193,0.14167650531270168,4.766031195839866e-05,3.4388366124863654
pecan pie,503.0,27.1,4.9,13.6,7.0,63.7,0.0,6.0,0.0,106.1,0.3,23.8,0.046,0.2,0.083,0.061,0.2,1.0,0.6,0.034,0.2,0.0,0.0,0.0,39.0,0.3,1.8,31.7,0.9,114.7,162.3,0.089,1.2,137.891,10.616666666489722,2.3505535055263818,0.0,0.0018484288354886948,4.170812603644966
apple pie,331.0,15.6,3.8,6.7,4.2,46.4,0.0,3.0,0.0,0.0,0.3,59.1,0.078,0.2,0.02,0.0,0.1,1.5,0.1,0.009,2.1,0.0,0.0,0.0,8.8,0.02,1.4,8.8,0.2,35.0,98.8,0.077,0.2,77.358,15.466666666151111,2.974358974339908,0.0,0.0030364372469604893,2.6672038678463603
vanilla wafer pie crust,935.0,63.7,13.1,27.5,18.8,88.4,12.9,6.5,0.2,68.6,0.9,15.0,0.4,0.3,0.071,0.081,0.4,3.7,0.5,0.082,0.2,0.059,5.4,0.028,73.9,0.1,2.9,17.6,0.3,137.3,139.0,0.009,0.4,236.2,13.59999999979077,1.3877551020386378,0.0022624434389114678,0.006474820143880235,5.385944700457727
chocolate pie crust,881.0,40.8,8.6,26.4,3.7,117.4,47.9,11.1,4.9,0.0,0.9,9.1,0.0,0.6,0.1,0.0,0.5,5.6,0.3,0.049,0.0,0.0,3.3,0.078,58.2,1.4,7.8,72.8,3.3,218.4,340.3,0.033,3.8,240.2,10.576576576481292,2.8774509803851047,0.04173764906299682,0.0026447252424323703,4.9383408071721195
apple strudel,195.0,8.0,1.5,2.3,3.8,29.2,18.3,2.3,1.6,4.3,0.02,30.9,0.011,0.087,0.082,0.009,0.016,0.2,0.2,0.031,1.2,0.0,1.0,0.002,10.7,0.092,0.3,6.4,0.1,23.4,105.8,0.034,0.1,53.359,12.69565217336106,3.649999999954375,0.05479452054775756,0.00018903591682401793,2.7698863636324296
chocolate snack cake,200.0,8.0,2.4,4.3,0.9,30.2,18.9,1.8,1.6,0.0,0.2,9.3,0.001,0.051,0.079,0.011,0.013,0.5,0.067,0.068,1.0,0.0,0.5,0.08,58.0,0.2,1.8,18.0,0.2,43.5,88.0,0.006,0.5,102.459,16.777777776845678,3.7749999999528123,0.052980132450155704,0.00227272727272469,4.056795131837613
fruit fried pie,404.0,20.6,3.1,9.5,6.9,54.5,27.4,3.8,3.3,0.0,0.4,48.1,0.065,0.2,0.046,0.074,0.1,1.8,0.1,0.019,1.7,0.0,2.2,0.035,28.2,0.094,1.6,12.8,0.3,55.0,83.2,0.094,0.3,113.776,14.342105262780471,2.6456310679483224,0.06055045871548522,0.00480769230768653,3.1811023622022194
pumpkin pie,316.0,14.4,4.9,5.7,2.8,40.9,0.0,7.0,0.0,65.1,0.3,90.7,0.1,0.1,0.091,0.086,0.3,1.2,0.7,0.077,2.6,0.0,0.0,0.0,145.7,0.1,2.0,29.5,0.3,151.9,288.3,0.058,0.7,212.686,5.842857142773673,2.8402777777580535,0.0,0.001040582726326382,2.065359477122833
